,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnCorpusdoc2vec_v300_Con_Cossim,Doc2Vec,Concepts,Concepts,-,300,-,-,0.8570399999999998,0.7,0.1022047485817306,0.236,0.18263025751039208
./results/trainedOnCorpusdoc2vec_v200_Con_Cossim,Doc2Vec,Concepts,Concepts,-,200,-,-,0.8461066666666665,0.6716666666666665,0.10195988842106564,0.224,0.1819892092231224
./results/trainedOnCorpusdoc2vec_v200_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,200,-,-,0.7597733333333333,0.4226666666666665,0.07396729665656916,0.128,0.13481022158917144
./results/trainedOnCorpustrained_cbow_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,CBOW,-,0.8465466666666667,0.6843333333333333,0.09767847449224028,0.228,0.17514760703152035
./results/trainedOnCorpustrained_cbow_v300_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,CBOW,-,0.8632799999999999,0.7246666666666667,0.1018702622751816,0.244,0.1822359967236786
./results/trainedOnCorpustrainedLDASentCossim-40topics,LDA,Sentences,Sentences,40,-,-,-,0.7993866666666668,0.5373333333333333,0.07781364611363371,0.14,0.14182209076237848
./results/trainedOnCorpustrained_cbow_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,CBOW,-,0.8595266666666666,0.7263333333333333,0.10234907591230348,0.248,0.18291709866691716
./results/trainedOnCorpustrained_skipGram_v300_ConRel_Cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,Skip-Gram,-,0.8730866666666667,0.7683333333333333,0.10868353506165968,0.272,0.19330418703172675
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-80topics,LDA,Concepts & Relations,Concepts & Relations,80,-,-,-,0.6807666666666669,0.6396666666666667,0.2536201453551609,0.29366666666666663,0.3695603121353024
./results/trainedOnCorpusdoc2vec_v200_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,200,-,-,0.8516933333333333,0.6666666666666665,0.10359448148148624,0.23200000000000004,0.1847207257951021
./results/trainedOnCorpustfidf_BiTri_Con,TF-IDF,Concepts,Concepts,-,-,-,Bigrams and Trigrams,0.8561666666666667,0.7483333333333333,0.10517080529758843,0.26,0.1873301320883773
./results/trainedOnCorpustrained_skipGram_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,Skip-Gram,-,0.8576799999999999,0.77,0.10641376851096836,0.272,0.1893362740378484
