,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnFullCorpustrained_skipGram_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,Skip-Gram,-,0.7486301027077498,0.530204014939309,0.1489125756613341,0.308,0.24841255908719603
./results/trainedOnFullCorpusdoc2vec_v200_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,200,-,-,0.7524576844070963,0.5161722689075631,0.15415970969061651,0.308,0.25589329950616296
./results/trainedOnFullCorpustrained_cbow_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,CBOW,-,0.7248130625583566,0.4811386554621848,0.14074985801762524,0.264,0.2357248288235873
./results/trainedOnFullCorpusLDAConceptsCossim-40topics,LDA,Full,Concepts,40,-,-,-,0.5092542390289451,0.3682931839402427,0.1652308492258034,0.20600000000000002,0.24950740009484695
./results/trainedOnFullCorpustfidf_BiTri_Full,TF-IDF,Full,Full,-,-,-,Bigrams and Trigrams,0.7063077591036416,0.4976386554621849,0.14392529723546466,0.284,0.23912397526958154
./results/trainedOnFullCorpusLDAConceptsCossim-80topics,LDA,Full,Concepts,80,-,-,-,0.3890792063492065,0.3246984126984127,0.199216031862874,0.21333333333333326,0.2635099199674385
./results/trainedOnFullCorpustrained_cbow_v300_Full_Full_Cossim,Word2Vec,Full,Full,-,300,CBOW,-,0.7236836134453781,0.5085434173669467,0.14266254957796667,0.292,0.2383401780683625
./results/trainedOnFullCorpusdoc2vec_v200_Full_Full_Cossim,Doc2Vec,Full,Full,-,200,-,-,0.7418527264239029,0.4911582633053221,0.14872158020645998,0.276,0.24777159846814736
./results/trainedOnFullCorpustfidf_BiTri_Con,TF-IDF,Full,Concepts,-,-,-,Bigrams and Trigrams,0.7134797012138189,0.4578352007469655,0.13799562701736173,0.252,0.2312623172246023
./results/trainedOnFullCorpusBM25PlusConcepts,BM25,Full,Concepts,-,-,-,-,0.6416707749766573,0.3041227824463118,0.0942737277369527,0.11600000000000002,0.16439472192225704
./results/trainedOnFullCorpusdoc2vec_v300_Full_Full_Cossim,Doc2Vec,Full,Full,-,300,-,-,0.7327702427637722,0.485233893557423,0.14577565046188895,0.268,0.24317468125838165
./results/trainedOnFullCorpustrained_cbow_v100_Full_Con_Cossim,Word2Vec,Full,Concepts,-,100,CBOW,-,0.7564246311858076,0.4975989729225023,0.14687189791206573,0.276,0.2459823936678857
./results/trainedOnFullCorpusLDAFullCossim-20topics,LDA,Full,Full,20,-,-,-,0.5506062464985995,0.41064845938375344,0.16462002108464113,0.19366666666666668,0.25346052295928984
./results/trainedOnFullCorpustrained_cbow_v300_Full_Con_Cossim,Word2Vec,Full,Concepts,-,300,CBOW,-,0.7602843697478991,0.5089323062558357,0.14831408390616665,0.28800000000000003,0.24820839030454445
./results/trainedOnFullCorpustfidf_UniBi_Sent,TF-IDF,Full,Sentences,-,-,-,Unigrams and Bigrams,0.7015501960784313,0.4524084967320261,0.1387767578927354,0.256,0.23171662232345366
./results/trainedOnFullCorpustrained_cbow_v100_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,100,CBOW,-,0.7206156676003735,0.4533151260504201,0.13646914244059205,0.256,0.2294797458421351
./results/trainedOnFullCorpustfidf_UniBi_Full,TF-IDF,Full,Full,-,-,-,Unigrams and Bigrams,0.7325178244631186,0.493188141923436,0.1458867744511585,0.28800000000000003,0.2433153532460801
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Full_Cossim,Word2Vec,Full,Full,-,300,Skip-Gram,-,0.7348717086834733,0.5012516339869281,0.1498673506005168,0.308,0.24896216541133975
./results/trainedOnFullCorpusLDASentCossim-20topics,LDA,Full,Sentences,20,-,-,-,0.16,0.16,0.0,0.0,0.0
./results/trainedOnFullCorpusBM25PlusConceptsAndRelations,BM25,Full,Concepts & Relations,-,-,-,-,0.6357362651727357,0.3041227824463118,0.09384141389264672,0.11600000000000002,0.16354225656427654
./results/trainedOnFullCorpusdoc2vec_v200_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,200,-,-,0.6834402894491128,0.2956783380018674,0.10358480549142307,0.108,0.17990285164397996
./results/trainedOnFullCorpusLDAConceptsCossim-10topics,LDA,Full,Concepts,10,-,-,-,0.5305362931839402,0.3593510737628385,0.1412334998341891,0.188,0.22308087756903106
./results/trainedOnFullCorpusdoc2vec_v100_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,100,-,-,0.7388589542483659,0.5083846872082166,0.15084067234212686,0.292,0.2505339512210945
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,Skip-Gram,-,0.709848029878618,0.4770275443510738,0.13706231013173312,0.272,0.22976082879430604
./results/trainedOnFullCorpusLDAFullCossim-10topics,LDA,Full,Full,10,-,-,-,0.5174814098972922,0.3295770308123249,0.10966599716289448,0.14,0.1809785520621656
./results/trainedOnFullCorpustfidf_UniBi_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.7184735294117647,0.4872296918767507,0.14213569525799613,0.276,0.23732196146652745
./results/trainedOnFullCorpusdoc2vec_v300_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,300,-,-,0.7313419701213817,0.4778944911297852,0.1476371834152485,0.276,0.24567879260308298
./results/trainedOnFullCorpusBM25PlusFull,BM25,Full,Full,-,-,-,-,0.6404495051353876,0.3041227824463118,0.09527063403610356,0.11600000000000002,0.16586750089801394
./results/trainedOnFullCorpustrained_cbow_v300_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,300,CBOW,-,0.7526571988795518,0.5087754435107377,0.14837281796941862,0.28800000000000003,0.2478804645227416
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,Skip-Gram,-,0.7327159663865547,0.5048786181139122,0.14493873064859233,0.3,0.2420061613132824
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Con_Cossim,Word2Vec,Full,Concepts,-,100,Skip-Gram,-,0.7502802334267039,0.5191087768440711,0.14669841971960385,0.292,0.2454125841333709
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-10topics,LDA,Full,Concepts & Relations,10,-,-,-,0.5908302054154996,0.3930989729225024,0.12051278267539342,0.20800000000000005,0.2001920123916316
./results/trainedOnFullCorpusLDASentCossim-80topics,LDA,Full,Sentences,80,-,-,-,0.16,0.16,0.04,0.04,0.064
./results/trainedOnFullCorpusdoc2vec_v300_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,300,-,-,0.7566361531279179,0.5070392156862745,0.15560449129171808,0.304,0.2581248367316397
./results/trainedOnFullCorpustrained_skipGram_v300_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,300,Skip-Gram,-,0.7482128384687208,0.5159183006535948,0.1528146576851727,0.312,0.25379444972391896
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-20topics,LDA,Full,Concepts & Relations,20,-,-,-,0.43503110177404297,0.3684640522875817,0.14703945628230972,0.182,0.21979031849453734
./results/trainedOnFullCorpusdoc2vec_v300_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,300,-,-,0.6781586741363212,0.2985354808590103,0.10345876265575517,0.11200000000000003,0.17952889484750684
./results/trainedOnFullCorpusdoc2vec_v100_Full_Full_Cossim,Doc2Vec,Full,Full,-,100,-,-,0.7317315873015873,0.4907735760971055,0.14652961855001173,0.28400000000000003,0.2441650608131571
./results/trainedOnFullCorpustrained_cbow_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,CBOW,-,0.7249122502334268,0.4649957983193278,0.1364144066697832,0.256,0.22961898069842904
./results/trainedOnFullCorpustfidf_BiTri_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.7112403454715219,0.4446545284780579,0.13530745232984878,0.24,0.22736133598101554
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-40topics,LDA,Full,Concepts & Relations,40,-,-,-,0.4780114285714286,0.3817619047619048,0.17055340272739328,0.21466666666666664,0.2514057862871589
./results/trainedOnFullCorpusdoc2vec_v100_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,100,-,-,0.7209151073762838,0.4825056022408963,0.14617446548170293,0.284,0.2430645778176644
./results/trainedOnFullCorpustfidf_UniBi_Con,TF-IDF,Full,Concepts,-,-,-,Unigrams and Bigrams,0.7247625210084032,0.472563025210084,0.1432429211040228,0.26,0.23920840948486302
./results/trainedOnFullCorpusdoc2vec_v100_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,100,-,-,0.6741791783380019,0.2935354808590103,0.10228087975518813,0.108,0.17761541950368992
./results/trainedOnFullCorpusLDASentCossim-10topics,LDA,Full,Sentences,10,-,-,-,0.16,0.16,0.0,0.0,0.0
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Con_Cossim,Word2Vec,Full,Concepts,-,300,Skip-Gram,-,0.7519748366013072,0.5199817927170868,0.15069696132593496,0.304,0.25107757466134417
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,100,Skip-Gram,-,0.7139987021475257,0.4426704014939309,0.1350814036291209,0.252,0.2271822086497675
./results/trainedOnFullCorpusLDAFullCossim-80topics,LDA,Full,Full,80,-,-,-,0.41828587301587306,0.3916507936507936,0.27684008242015984,0.2783333333333333,0.33317212414623704
./results/trainedOnFullCorpusLDAFullCossim-40topics,LDA,Full,Full,40,-,-,-,0.4215815406162466,0.3381367880485528,0.24523584464211395,0.26899999999999996,0.31009061096537344
./results/trainedOnFullCorpusdoc2vec_v200_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,200,-,-,0.7375380018674136,0.4891820728291317,0.15158921283449922,0.29200000000000004,0.25148888323274066
./results/trainedOnCorpustfidf_BiTri_Sent,TF-IDF,Sentences,Sentences,-,-,-,Bigrams and Trigrams,0.6920224556489264,0.43307142857142855,0.13157053583022446,0.23200000000000004,0.22110378849328
./results/trainedOnCorpustrainedLDAConceptsCossim-10topics,LDA,Concepts,Concepts,10,-,-,-,0.5563699626517273,0.3522082166199813,0.1448086323804876,0.2,0.2298049996391519
./results/trainedOnCorpusdoc2vec_v100_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,100,-,-,0.6905437628384686,0.3247777777777777,0.10985985938215548,0.128,0.1895619624313687
./results/trainedOnCorpustrainedLDASentCossim-10topics,LDA,Sentences,Sentences,10,-,-,-,0.6903337068160598,0.35315873015873017,0.10040691428540496,0.128,0.17531482632586762
./results/trainedOnCorpusBM25PlusSent,BM25,Sentences,Sentences,-,-,-,-,0.595072212885154,0.2763510737628385,0.08572289477274925,0.092,0.14985804719670245
./results/trainedOnCorpusdoc2vec_v300_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,300,-,-,0.7423464052287582,0.4793230625583566,0.15184245167701682,0.29200000000000004,0.2521160877660829
./results/trainedOnCorpustrained_skipGram_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,Skip-Gram,-,0.7525421195144725,0.5113548085901027,0.15031121227437422,0.312,0.2505734083023843
./results/trainedOnCorpusdoc2vec_v300_Con_Cossim,Doc2Vec,Concepts,Concepts,-,300,-,-,0.7453909897292251,0.477406629318394,0.14616839380496746,0.272,0.2444090786045489
./results/trainedOnCorpusdoc2vec_v200_Con_Cossim,Doc2Vec,Concepts,Concepts,-,200,-,-,0.7359053594771242,0.4696307189542484,0.1458744635066096,0.272,0.2434843635730242
./results/trainedOnCorpusdoc2vec_v200_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,200,-,-,0.6958511391223157,0.32695424836601306,0.11020588167507224,0.136,0.19027658421910654
./results/trainedOnCorpustrained_cbow_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,CBOW,-,0.744727264239029,0.5085709617180205,0.14715502964392824,0.29600000000000004,0.24575073055574664
./results/trainedOnCorpustrained_cbow_v300_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,CBOW,-,0.7473956769374417,0.5360434173669467,0.15031926988673053,0.312,0.25029765377347474
./results/trainedOnCorpustrainedLDASentCossim-40topics,LDA,Sentences,Sentences,40,-,-,-,0.7621525210084034,0.4433053221288515,0.13401364904146792,0.212,0.22794620881706834
./results/trainedOnCorpustrained_cbow_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,CBOW,-,0.7500259103641457,0.5266087768440709,0.1502891304397827,0.308,0.2504028851395859
./results/trainedOnCorpustrained_skipGram_v300_ConRel_Cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,Skip-Gram,-,0.7406099626517273,0.5279897292250233,0.1511022630962603,0.316,0.2509954180216428
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-80topics,LDA,Concepts & Relations,Concepts & Relations,80,-,-,-,0.4774097945845006,0.4291923436041084,0.3015377674578603,0.34166666666666673,0.36961944715271416
./results/trainedOnCorpusdoc2vec_v200_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,200,-,-,0.7501793370681608,0.4613230625583566,0.1493902469992786,0.272,0.2491624404454429
./results/trainedOnCorpustfidf_BiTri_Con,TF-IDF,Concepts,Concepts,-,-,-,Bigrams and Trigrams,0.6913404761904761,0.5066783380018675,0.14195047074237255,0.292,0.23553863485427365
./results/trainedOnCorpustrained_skipGram_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,Skip-Gram,-,0.7609416993464052,0.5329183006535948,0.15138679073952432,0.32,0.252532992350337
./results/trainedOnCorpusBM25PlusConcepts,BM25,Concepts,Concepts,-,-,-,-,0.6398875163398693,0.30301167133520074,0.09387338925836844,0.11200000000000003,0.16372747428937814
./results/trainedOnCorpusdoc2vec_v100_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,100,-,-,0.7444651167133521,0.4571423902894491,0.1483830561352163,0.268,0.2474463465642848
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-20topics,LDA,Concepts & Relations,Concepts & Relations,20,-,-,-,0.5253034920634921,0.33128571428571424,0.11364619025332562,0.14400000000000002,0.18686523290321586
./results/trainedOnCorpustrained_cbow_v100_Sent_Cossim,Word2Vec,Sentences,Sentences,-,100,CBOW,-,0.7292701027077497,0.4568529411764706,0.13761902114071253,0.24399999999999994,0.23154388472722665
./results/trainedOnCorpusdoc2vec_v300_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,300,-,-,0.6953415126050421,0.3102539682539682,0.1102805248410251,0.116,0.1903687421385115
./results/trainedOnCorpustrained_skipGram_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,Skip-Gram,-,0.7196337348272641,0.4750196078431373,0.13863764705352188,0.268,0.23248666993454026
./results/trainedOnCorpustfidf_UniBi_Sent,TF-IDF,Sentences,Sentences,-,-,-,Unigrams and Bigrams,0.6889906442577031,0.4229920634920635,0.1267740150206797,0.22,0.2141453648200434
./results/trainedOnCorpusBM25PlusConceptsAndRelations,BM25,Concepts & Relations,Concepts & Relations,-,-,-,-,0.6370243510737628,0.3041227824463118,0.09449674385285167,0.11600000000000002,0.1645796063816459
./results/trainedOnCorpustrainedLDAConceptsCossim-40topics,LDA,Concepts,Concepts,40,-,-,-,0.4783626610644258,0.4179304388422035,0.21553560405032215,0.2353333333333333,0.2971737797632064
./results/trainedOnCorpustrainedLDAConceptsCossim-80topics,LDA,Concepts,Concepts,80,-,-,-,0.4150103174603174,0.4089206349206349,0.3247008080808081,0.3453333333333333,0.36434272998844025
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-10topics,LDA,Concepts & Relations,Concepts & Relations,10,-,-,-,0.5195945284780579,0.3201764705882353,0.11214701258373903,0.168,0.18447725956324487
./results/trainedOnCorpustrainedLDAConceptsCossim-20topics,LDA,Concepts,Concepts,20,-,-,-,0.4927119047619049,0.4386507936507937,0.20231332783368053,0.2346666666666667,0.2868447948094988
./results/trainedOnCorpustrained_skipGram_v100_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,100,Skip-Gram,-,0.717225294117647,0.4682735760971055,0.13783014200707522,0.264,0.2312253918584107
./results/trainedOnCorpustfidf_UniBi_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.7239231652661064,0.4922296918767507,0.14504120559023714,0.28,0.2416639672842349
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-40topics,LDA,Concepts & Relations,Concepts & Relations,40,-,-,-,0.4411164332399625,0.3423352007469655,0.16277291679666855,0.198,0.2377978961909371
./results/trainedOnCorpustrainedLDASentCossim-80topics,LDA,Sentences,Sentences,80,-,-,-,0.741800989729225,0.42153361344537815,0.130388435814836,0.224,0.22179189039435265
./results/trainedOnCorpustrained_cbow_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,CBOW,-,0.7716452194211016,0.5262138188608776,0.1543120502342258,0.308,0.25719147041554663
./results/trainedOnCorpustfidf_BiTri_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.6830242763772175,0.4983450046685341,0.1407911143030497,0.292,0.23345946204713466
./results/trainedOnCorpustrained_skipGram_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,Skip-Gram,-,0.7417150046685341,0.5254243697478992,0.1519309942773214,0.312,0.2522016509056762
./results/trainedOnCorpustfidf_UniBi_Con,TF-IDF,Concepts,Concepts,-,-,-,Unigrams and Bigrams,0.7311785247432308,0.5119201680672271,0.14682850898491415,0.3,0.24454895795989415
./results/trainedOnCorpustrained_cbow_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,CBOW,-,0.7258070308123249,0.4239640522875817,0.13752381666139246,0.23600000000000002,0.2312340705282687
./results/trainedOnCorpustrainedLDASentCossim-20topics,LDA,Sentences,Sentences,20,-,-,-,0.7247577777777778,0.3534084967320262,0.11456467985036164,0.156,0.1978539762055496
./results/trainedOnCorpusdoc2vec_v100_Con_Cossim,Doc2Vec,Concepts,Concepts,-,100,-,-,0.7278402987861813,0.4601069094304389,0.14307843922539878,0.264,0.2391457421008895
