,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnFullCorpusdoc2vec_v300_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,300,-,-,0.5805780952380952,0.19345238095238096,0.12806966111604953,0.15600000000000006,0.2098487979164248
./results/trainedOnFullCorpusdoc2vec_v100_Full_Full_Cossim,Doc2Vec,Full,Full,-,100,-,-,0.6980541269841268,0.424,0.19359630991864366,0.3640000000000001,0.30312485143175805
./results/trainedOnFullCorpustrained_cbow_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,CBOW,-,0.6950219047619046,0.35528571428571426,0.1802585947743008,0.31999999999999995,0.2862709084827648
./results/trainedOnFullCorpustfidf_BiTri_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.6893980952380953,0.3852619047619047,0.18107793057749005,0.328,0.2868195716540609
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-40topics,LDA,Full,Concepts & Relations,40,-,-,-,0.4278733333333334,0.31598412698412703,0.24807620896665145,0.287,0.3140624789539416
./results/trainedOnFullCorpusdoc2vec_v100_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,100,-,-,0.6697417460317461,0.44448412698412704,0.18770208588610948,0.384,0.2932248575489365
./results/trainedOnFullCorpustfidf_UniBi_Con,TF-IDF,Full,Concepts,-,-,-,Unigrams and Bigrams,0.7312336507936508,0.4362619047619048,0.19690647592507127,0.376,0.31026487727588004
./results/trainedOnFullCorpusdoc2vec_v100_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,100,-,-,0.5818346031746031,0.19478571428571428,0.12838757668994888,0.15600000000000006,0.21035765103869766
./results/trainedOnFullCorpusLDASentCossim-10topics,LDA,Full,Sentences,10,-,-,-,0.0964,0.084,0.020380749537780414,0.02,0.033647741827627496
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Con_Cossim,Word2Vec,Full,Concepts,-,300,Skip-Gram,-,0.7179998412698413,0.4229920634920634,0.18674101364539208,0.364,0.2963943043525385
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,100,Skip-Gram,-,0.6967484126984127,0.3822142857142857,0.1839552743222673,0.34800000000000003,0.29106394643385025
./results/trainedOnFullCorpusLDAFullCossim-80topics,LDA,Full,Full,80,-,-,-,0.4175946031746032,0.3590079365079365,0.3722007068112485,0.37166666666666665,0.3935931360872084
./results/trainedOnFullCorpusLDAFullCossim-40topics,LDA,Full,Full,40,-,-,-,0.3880630158730159,0.3132142857142857,0.3468623357619333,0.3696666666666667,0.36630779931345997
./results/trainedOnFullCorpusdoc2vec_v200_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,200,-,-,0.6858369841269842,0.43434126984126986,0.1895643054336076,0.3720000000000001,0.2970299749089257
./results/trainedOnCorpustfidf_BiTri_Sent,TF-IDF,Sentences,Sentences,-,-,-,Bigrams and Trigrams,0.6695177777777778,0.3862380952380952,0.1795189037017693,0.32,0.2831234506053713
./results/trainedOnCorpustrainedLDAConceptsCossim-10topics,LDA,Concepts,Concepts,10,-,-,-,0.5565133333333334,0.33219841269841266,0.2015187373467638,0.28800000000000003,0.2958921359339172
./results/trainedOnCorpusdoc2vec_v100_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,100,-,-,0.6372503174603175,0.22440476190476188,0.14425560865854534,0.172,0.23525588057820504
./results/trainedOnCorpustrainedLDASentCossim-10topics,LDA,Sentences,Sentences,10,-,-,-,0.6530974603174604,0.2839206349206349,0.1432429569667191,0.21600000000000005,0.23495381968021595
./results/trainedOnCorpusBM25PlusSent,BM25,Sentences,Sentences,-,-,-,-,0.6024693650793651,0.20923015873015874,0.1283167825803687,0.152,0.21157196473356535
./results/trainedOnCorpusdoc2vec_v300_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,300,-,-,0.6997742857142858,0.390015873015873,0.19373557015815235,0.3559999999999999,0.3034575821046697
./results/trainedOnCorpustrained_skipGram_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,Skip-Gram,-,0.746972380952381,0.4860873015873015,0.19925576622107047,0.42,0.31459337699317186
./results/trainedOnCorpusdoc2vec_v300_Con_Cossim,Doc2Vec,Concepts,Concepts,-,300,-,-,0.6938155555555555,0.39951587301587305,0.1887809616255639,0.34,0.2968041799822197
./results/trainedOnCorpusdoc2vec_v200_Con_Cossim,Doc2Vec,Concepts,Concepts,-,200,-,-,0.6849101587301587,0.4071666666666666,0.18866715497201345,0.34800000000000003,0.2958411328504441
./results/trainedOnCorpusdoc2vec_v200_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,200,-,-,0.636613492063492,0.2235,0.14337334042098349,0.18,0.2340383173482016
./results/trainedOnCorpustrained_cbow_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,CBOW,-,0.7369,0.4224206349206349,0.1890931547359388,0.372,0.3009584790389709
./results/trainedOnCorpustrained_cbow_v300_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,CBOW,-,0.7326226984126984,0.4360952380952381,0.19020065827449134,0.388,0.3019978167981359
./results/trainedOnCorpustrainedLDASentCossim-40topics,LDA,Sentences,Sentences,40,-,-,-,0.6861455555555555,0.3556269841269841,0.1538577641401731,0.24,0.2513533424861571
./results/trainedOnCorpustrained_cbow_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,CBOW,-,0.7341531746031745,0.4495079365079365,0.1931217990099796,0.408,0.30580137685760883
./results/trainedOnCorpustrained_skipGram_v300_ConRel_Cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,Skip-Gram,-,0.7303557142857143,0.4678095238095238,0.1948599992158845,0.4159999999999999,0.3076409357000942
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-80topics,LDA,Concepts & Relations,Concepts & Relations,80,-,-,-,0.4133052380952381,0.3666825396825397,0.3652735320011945,0.424,0.3878078106212519
./results/trainedOnCorpusdoc2vec_v200_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,200,-,-,0.7027219047619048,0.3951825396825397,0.19373126610179586,0.35200000000000004,0.3037285354143466
./results/trainedOnCorpustfidf_BiTri_Con,TF-IDF,Concepts,Concepts,-,-,-,Bigrams and Trigrams,0.6977350793650794,0.4621666666666666,0.20108549829719732,0.4,0.3121966933121987
./results/trainedOnCorpustrained_skipGram_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,Skip-Gram,-,0.7413996825396826,0.4797539682539682,0.1969028441501968,0.41200000000000003,0.3111655398800091
./results/trainedOnCorpusBM25PlusConcepts,BM25,Concepts,Concepts,-,-,-,-,0.6189331746031747,0.2811190476190477,0.13517894571771152,0.208,0.22189468053363728
./results/trainedOnCorpusdoc2vec_v100_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,100,-,-,0.7030826984126984,0.3688095238095238,0.19269311327485386,0.332,0.3024846000063313
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-20topics,LDA,Concepts & Relations,Concepts & Relations,20,-,-,-,0.4210409523809525,0.2394365079365079,0.16524617418147866,0.19866666666666666,0.2373424330928738
./results/trainedOnCorpustrained_cbow_v100_Sent_Cossim,Word2Vec,Sentences,Sentences,-,100,CBOW,-,0.6947371428571429,0.36395238095238097,0.18299914876837625,0.32,0.28969135029196874
./results/trainedOnCorpusdoc2vec_v300_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,300,-,-,0.6380663492063492,0.22307142857142856,0.1447868087905925,0.17199999999999996,0.2360176734411589
./results/trainedOnCorpustrained_skipGram_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,Skip-Gram,-,0.7005117460317459,0.4080476190476191,0.1868953188050685,0.35600000000000004,0.29506721613800463
./results/trainedOnCorpustfidf_UniBi_Sent,TF-IDF,Sentences,Sentences,-,-,-,Unigrams and Bigrams,0.6838501587301588,0.3672222222222222,0.1765352032268784,0.324,0.2806268727621377
./results/trainedOnCorpusBM25PlusConceptsAndRelations,BM25,Concepts & Relations,Concepts & Relations,-,-,-,-,0.6165658730158731,0.2811190476190477,0.134404658668248,0.208,0.22069927437324768
./results/trainedOnCorpustrainedLDAConceptsCossim-40topics,LDA,Concepts,Concepts,40,-,-,-,0.4217142857142857,0.3748571428571429,0.3117306320100683,0.35100000000000003,0.3584761653847741
./results/trainedOnCorpustrainedLDAConceptsCossim-80topics,LDA,Concepts,Concepts,80,-,-,-,0.3355052380952382,0.3078730158730159,0.4372501531801533,0.4653333333333333,0.3796795684796625
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-10topics,LDA,Concepts & Relations,Concepts & Relations,10,-,-,-,0.5868741269841271,0.3618174603174603,0.17540926338768642,0.264,0.2700915686103706
./results/trainedOnCorpustrainedLDAConceptsCossim-20topics,LDA,Concepts,Concepts,20,-,-,-,0.4723255555555555,0.35345238095238096,0.281372407061388,0.3033333333333333,0.3526595136912112
./results/trainedOnCorpustrained_skipGram_v100_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,100,Skip-Gram,-,0.696589365079365,0.4130952380952381,0.18567004919259034,0.364,0.2931921826825718
./results/trainedOnCorpustfidf_UniBi_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.7437460317460318,0.4432380952380952,0.19918536855986335,0.388,0.3142186746569479
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-40topics,LDA,Concepts & Relations,Concepts & Relations,40,-,-,-,0.419524126984127,0.27504761904761904,0.2491451679408968,0.2706666666666667,0.3126281103858321
./results/trainedOnCorpustrainedLDASentCossim-80topics,LDA,Sentences,Sentences,80,-,-,-,0.7027039682539683,0.3660555555555556,0.16372795589644631,0.28800000000000003,0.2655772048920261
./results/trainedOnCorpustrained_cbow_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,CBOW,-,0.7428698412698413,0.4306825396825397,0.19069026597249766,0.372,0.30347922220699763
./results/trainedOnCorpustfidf_BiTri_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.6975596825396826,0.4301904761904761,0.2018796990285925,0.392,0.3131353633194279
./results/trainedOnCorpustrained_skipGram_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,Skip-Gram,-,0.7256034920634921,0.43733333333333335,0.19623329783495091,0.408,0.3089214223786019
./results/trainedOnCorpustfidf_UniBi_Con,TF-IDF,Concepts,Concepts,-,-,-,Unigrams and Bigrams,0.7412960317460318,0.4669285714285714,0.20077341684840025,0.416,0.3159693532400805
./results/trainedOnCorpustrained_cbow_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,CBOW,-,0.6936006349206348,0.36645238095238103,0.18303322220075485,0.3280000000000001,0.2896350810517095
./results/trainedOnCorpustrainedLDASentCossim-20topics,LDA,Sentences,Sentences,20,-,-,-,0.6832303174603175,0.2422539682539683,0.1437721045729959,0.184,0.2375554364347172
./results/trainedOnCorpusdoc2vec_v100_Con_Cossim,Doc2Vec,Concepts,Concepts,-,100,-,-,0.6745339682539683,0.37327777777777776,0.1838163591284249,0.3280000000000001,0.28890389901990576
