,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnFullCorpusdoc2vec_v300_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,300,-,-,0.5715699330528433,0.16848127483112005,0.15559401214792146,0.17200000000000004,0.24460194896559956
./results/trainedOnFullCorpusdoc2vec_v100_Full_Full_Cossim,Doc2Vec,Full,Full,-,100,-,-,0.6711149206349206,0.35554759447638706,0.2204186501392305,0.388,0.33184671838256463
./results/trainedOnFullCorpustrained_cbow_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,CBOW,-,0.6670138799487407,0.32006394946642625,0.2061561182834673,0.3400000000000001,0.31496499561327884
./results/trainedOnFullCorpustfidf_BiTri_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.6437148400412797,0.3339206103494029,0.2056686485132832,0.344,0.3117366018134685
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-40topics,LDA,Full,Concepts & Relations,40,-,-,-,0.3735125885225885,0.27347496947496946,0.26176871729939194,0.30166666666666664,0.3078129650493192
./results/trainedOnFullCorpusdoc2vec_v100_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,100,-,-,0.6347548631760397,0.3771054994197409,0.21588712481837924,0.41200000000000003,0.3221928950360207
./results/trainedOnFullCorpustfidf_UniBi_Con,TF-IDF,Full,Concepts,-,-,-,Unigrams and Bigrams,0.6734269725218022,0.3596336183596245,0.22070632242156946,0.384,0.3324551079024329
./results/trainedOnFullCorpusdoc2vec_v100_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,100,-,-,0.5717575524784813,0.16648127483112007,0.1552720737409604,0.168,0.2442210816415717
./results/trainedOnFullCorpusLDASentCossim-10topics,LDA,Full,Sentences,10,-,-,-,0.07525714285714286,0.06285714285714286,0.020380749537780414,0.02,0.0320750895088066
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Con_Cossim,Word2Vec,Full,Concepts,-,300,Skip-Gram,-,0.6845525558995527,0.3545365128507544,0.2166231531572772,0.392,0.3291032629275695
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,100,Skip-Gram,-,0.6562832776889433,0.320074809950971,0.20565839906958155,0.35600000000000004,0.3131770324257286
./results/trainedOnFullCorpusLDAFullCossim-80topics,LDA,Full,Full,80,-,-,-,0.35470685752843634,0.2944215024741341,0.3811149925255343,0.3783333333333333,0.3674370402177928
./results/trainedOnFullCorpusLDAFullCossim-40topics,LDA,Full,Full,40,-,-,-,0.3393514570740578,0.26460713057152685,0.3684683696867288,0.39366666666666666,0.3533110359768218
./results/trainedOnFullCorpusdoc2vec_v200_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,200,-,-,0.6454813358433792,0.3666006513266575,0.2205976126036484,0.4,0.3288190803450117
./results/trainedOnCorpustfidf_BiTri_Sent,TF-IDF,Sentences,Sentences,-,-,-,Bigrams and Trigrams,0.6217558744523451,0.3158843904633378,0.2014778547127097,0.3240000000000001,0.3043365093088096
./results/trainedOnCorpustrainedLDAConceptsCossim-10topics,LDA,Concepts,Concepts,10,-,-,-,0.5116849803241135,0.2866114040758003,0.23913742415873696,0.3240000000000001,0.32594399806090874
./results/trainedOnCorpusdoc2vec_v100_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,100,-,-,0.6103946650941079,0.19773517126148704,0.16845418439866766,0.18,0.264039769813333
